code,system,display,description,terminology_id,terminology_description,terminology_name,terminology_resource_type
KIN_052,http://purl.org/ga4gh/kin.owl,isMaternalGrandparentOf,A relation between a person and a child of that person's daughter.,ftd-acr-enum-relationship-code,The Kinship Ontology (KIN) is a family relations ontology developed as part of the Global Alliance for Genomics and Health Pedigree Standard project.,Kinship Ontology (KIN),Terminology
KIN_053,http://purl.org/ga4gh/kin.owl,isPaternalGrandparentOf,A relation between a person and a child of that person's son.,ftd-acr-enum-relationship-code,The Kinship Ontology (KIN) is a family relations ontology developed as part of the Global Alliance for Genomics and Health Pedigree Standard project.,Kinship Ontology (KIN),Terminology
KIN_054,http://purl.org/ga4gh/kin.owl,isMaternalHalfSiblingOf,A relation between two people that share the same biological mother.,ftd-acr-enum-relationship-code,The Kinship Ontology (KIN) is a family relations ontology developed as part of the Global Alliance for Genomics and Health Pedigree Standard project.,Kinship Ontology (KIN),Terminology
KIN_055,http://purl.org/ga4gh/kin.owl,isPaternalHalfSiblingOf,A relation between two people that share the same biological father.,ftd-acr-enum-relationship-code,The Kinship Ontology (KIN) is a family relations ontology developed as part of the Global Alliance for Genomics and Health Pedigree Standard project.,Kinship Ontology (KIN),Terminology
KIN_056,http://purl.org/ga4gh/kin.owl,isMaternalStepSiblingOf,"A relation between children born of two different families who have been joined by marriage, defacto or otherwise. One is a biological child and the other is a step child of the same woman.",ftd-acr-enum-relationship-code,The Kinship Ontology (KIN) is a family relations ontology developed as part of the Global Alliance for Genomics and Health Pedigree Standard project.,Kinship Ontology (KIN),Terminology
KIN_057,http://purl.org/ga4gh/kin.owl,isPaternalStepSiblingOf,"A relation between children born of two different families who have been joined by marriage, defacto or otherwise. One is a biological child and the other is a step child of the same man.",ftd-acr-enum-relationship-code,The Kinship Ontology (KIN) is a family relations ontology developed as part of the Global Alliance for Genomics and Health Pedigree Standard project.,Kinship Ontology (KIN),Terminology
KIN_058,http://purl.org/ga4gh/kin.owl,isMaternalUncleOf,A relation between a man and the child of that man's sister.,ftd-acr-enum-relationship-code,The Kinship Ontology (KIN) is a family relations ontology developed as part of the Global Alliance for Genomics and Health Pedigree Standard project.,Kinship Ontology (KIN),Terminology
KIN_059,http://purl.org/ga4gh/kin.owl,isPaternalUncleOf,A relation between a man and the child of that man's brother.,ftd-acr-enum-relationship-code,The Kinship Ontology (KIN) is a family relations ontology developed as part of the Global Alliance for Genomics and Health Pedigree Standard project.,Kinship Ontology (KIN),Terminology
KIN_060,http://purl.org/ga4gh/kin.owl,isMaternalAuntOf,A relation between a woman and the child of that woman's sister.,ftd-acr-enum-relationship-code,The Kinship Ontology (KIN) is a family relations ontology developed as part of the Global Alliance for Genomics and Health Pedigree Standard project.,Kinship Ontology (KIN),Terminology
KIN_061,http://purl.org/ga4gh/kin.owl,isPaternalAuntOf,A relation between a woman and the child of that woman's brother.,ftd-acr-enum-relationship-code,The Kinship Ontology (KIN) is a family relations ontology developed as part of the Global Alliance for Genomics and Health Pedigree Standard project.,Kinship Ontology (KIN),Terminology
